Id,SalePrice
1461,105340.743891
1462,220498.505568
1463,143328.513661
1464,173749.450578
1465,108154.524146
1466,111965.24455
1467,161794.71061
1468,205023.062306
1469,112210.965571
1470,154845.043615
1471,203137.988192
1472,93293.3073779
1473,110482.232565
1474,110585.309703
1475,173238.222736
1476,216345.112955
1477,218174.501813
1478,142475.984465
1479,177430.172061
1480,217404.960041
1481,145482.89543
1482,202075.688432
1483,151980.580132
1484,206948.811745
1485,192265.16124
1486,127339.180635
1487,146584.968162
1488,145170.899641
1489,209661.128474
1490,127452.049753
1491,211783.453445
1492,168103.836943
1493,162481.858352
1494,181844.681558
1495,189830.623406
1496,147312.800856
1497,217114.130417
1498,192122.506234
1499,203945.893177
1500,232607.930931
1501,114313.5824
1502,182257.80562
1503,194918.395069
1504,111384.856386
1505,113522.412994
1506,111165.637987
1507,162487.428378
1508,212295.523525
1509,222102.661291
1510,203882.898611
1511,141377.061219
1512,176333.110273
1513,170004.877636
1514,170336.600004
1515,190213.19035
1516,202506.327295
1517,138304.366726
1518,202786.770867
1519,188163.570432
1520,210025.064052
1521,196639.93827
1522,206477.325132
1523,155975.501183
1524,221473.686334
1525,171950.134373
1526,203028.96388
1527,206290.342695
1528,168988.63787
1529,140338.772018
1530,217948.970777
1531,148368.472736
1532,152882.46817
1533,174418.656515
1534,159844.223119
1535,210090.498012
1536,217770.213891
1537,148650.659482
1538,142013.261202
1539,109231.652776
1540,170779.527492
1541,154845.043615
1542,155299.177838
1543,162388.446291
1544,146705.103464
1545,166397.032823
1546,154839.922661
1547,212106.698399
1548,210753.184471
1549,167515.350485
1550,202769.437505
1551,216634.484845
1552,163654.389211
1553,204087.404105
1554,207930.185001
1555,135684.362629
1556,345687.933992
1557,131113.305049
1558,193615.124863
1559,152452.374234
1560,174959.42867
1561,166483.03968
1562,206111.126366
1563,143620.089532
1564,212934.283966
1565,110442.736968
1566,99389.5208865
1567,155075.961153
1568,213522.552648
1569,192929.721618
1570,172746.173154
1571,138759.761908
1572,183422.137462
1573,141953.407236
1574,152991.111677
1575,145086.405309
1576,202511.564434
